Bolt Size       	                    M10
Brand	                                Easyfix
CE Standard                             (Tested to EN...)	EN 14592.
Colour	                                Bright Zinc-Plated
Colour	                                Bright Zinc-Plated
Construction Material(Screws)	        Carbon Steel
Fixings Finish	                        Bright Zinc-Plated
Indoor/Outdoor Usage	                Indoor
Manufacturer Guarantee	                1 Year Guarantee
Pack Size	                            50
Pieces in Pack/Case	                    50
Product Length	                        180 mm
Product Type	                        General Purpose Threaded Coach Bolts


https://www.screwfix.com/p/easyfix-general-purpose-threaded-coach-bolts-carbon-steel-bright-zinc-plated-m10-x-180mm-50-pack/54709#product_additional_details_container
